rank_setor,codigo_base,nome,valor_total,quantidade_total
27,902896882,"TAP FLOW SORT 0,40X0,60",80.97,3
27,940927068,"PAN PRESSAO 4,5L PRETA",84.99,1
27,921454381,KIT PINCEIS P/ MAQ 3PCS,363.29,31
27,911935560,LIP GLOSS HONEY,71.97,3
27,955237322,RELOGIO PALLYJANE,83.97,3
27,909222908,POTE COM TAMPA G,103.35,5
27,918018859,BOLSA TERMICA GX-400098,127.96,4
27,23623117,OCULOS,74.97,3
27,907256461,POTE C/ TAMP ESCRREDOR,155.97,3
27,918940239,BLUSH E ILUMINADOR MELU 8G,164.89000000000001,11
27,908629689,BULE 12 POLIDO,83.97,3
27,927120450,FANTASI FADA,182.35,5
27,935697482,FITA ARAMA MERRY CHRIS,55.98,2
27,935697485,FITA ARAMADA XADREZ,55.98,2
28,908629686,POP. BULE 14 POLIDO,55.48,2
28,936675021,FESTAO 15CM VERDE ESCURO,74.94,6
28,908629701,FERVEDOR 12 POLIDO,79.95,5
28,927638043,CILIOS TUFINHO NEW SH,363.24,16
28,966683863,LAÇO NATALINO,84.83,17
28,6439142132e,PAPEL DECORO AUTOADES,71.25,5
28,902896882,"TAP FLOW SORT 0,40X0,60",102.56,4
28,934572608,SACO DE PRESENTES,77.88000000000001,12
28,910807593,PERF WILD GIRL 30ML,155.97,3
28,909222976,CANECA 220ML,181.73000000000002,27
28,909223112,MASCARA DE CILIOS PANDA,127.3,10
28,935697461,BOLA MISTA VM 6CM,149.9,10
29,921454334,TOUCA CETIM ESTAMPADA,74.71000000000001,9
29,921454381,KIT PINCEIS P/ MAQ 3PCS,125.87,13
29,942103198,ESCOVA RAQUETE ONDULADA,68.93,7
29,927396112,BOLSA TERMICA URSINHO,359.48,12
29,927949989,BOLSA,49.99,1
29,906678866,POTE COM TAMPA,152.16,9
29,953881445,NECESSERIE LF172,177.01999999999998,8
29,924580061,CESTO C/TAMPA 56L BRANCO,92.77,3
29,924580036,DIAMANTE FUME PRATO,76.89,11
29,916288750,BATOM MATTE UNI,79.92,8
29,902896882,"TAP FLOW SORT 0,40X0,60",80.97,3
29,908629701,FERVEDOR 12 POLIDO,143.91,9
30,909222908,POTE COM TAMPA G,63.17,3
30,961651555,RAQUETE MATA MOSQ 60HZ,74.97,3
30,920123805,PANETTONE FRUTAS BAUD,174.13,7
30,907206263,ELASTICO DE CABELO,49.900000000000006,10
30,916441694,BASE LIQ 30ML LABRANCHE,118.92999999999999,7
30,907218983,SUPER CARRO TURBO,75.98,2
30,916069495,"CORRETIVO BASTAO 6,8G",151.98,12
30,942711937,ARVORE DECORADA,85.48,2
30,917612100,MOCHILA VESOLO AIVISI,151.98,2
30,814230727,BOLSA TERMICA GX-400100,352.99,11
30,915225265,COPO VERSALHES,68.36,4
30,936927141,MOCHILA ANGUO GX,139.98,2
30,909222943,POTE COM TAMPA,79.98,2
31,947859703,"TOALHA BANHO 70X1,40",71.96,4
31,921454334,TOUCA CETIM ESTAMPADA,168.11,19
31,940927065,"PAN PRESSAO 2,5L PRETA",137.98,2
31,902285260,PERF LITE RED NYC 30ML,150.77,3
31,906678881,TIGELA COM TAMPA,71.94,6
31,916441673,MASCARA DE CILIOS PANDA,113.01,9
31,944226970,JOGO DE TALHER 17 PEÇAS,79.96,4
31,909062922,BANDEJA 15X23CM,349.69,11
31,23623117,OCULOS,74.97,3
31,1004581,BATOM GLOSS BRILHO MAÇA,54.94,6
31,935697473,BOLA PEROL VD 10CM 6U,47.99,1
31,1004581,BATOM GLOSS BRILHO MAÇA,67.93,7
32,923232944,KIT PINCEIS P/ MAQ 5PCS LINDA,111.92,8
32,908629677,FORMA PIZZA 35 POLIDO,68.97,3
32,920241513,KIT MINI ESPJ GOTA MAQ 5PCS,166.16,34
32,923523601,DRAGOES BABY,69.99,1
32,909222931,POTE COM TAMPA PL,54.88,2
32,923523607,MINI PETS DA BARBIE,45.98,2
32,944226959,JOGO DE TALHER 25 PEÇAS,45.98,2
32,940927065,"PAN PRESSAO 2,5L PRETA",68.99,1
32,909222943,POTE COM TAMPA,67.48,2
32,937723615,"CARTEIRA 37,99",338.11,9
32,899665965,TACA DE VIDRO,134.85000000000002,15
32,921454255,ESPONJA P/MAQUIAGEM,147.64000000000001,62
32,908629680,FORMA PAO 03 POLIDO,79.74,6
32,944226959,JOGO DE TALHER 25 PEÇAS,68.97,3
33,907206263,ELASTICO DE CABELO,65.55,15
33,916441663,LIP GLOSS COFFEE LIPS,110.52,8
33,56892371,BOLSA DE TECIDO,77.96,4
33,2007266,MASCARA CILIOS RUBY RO,67.96,4
33,922961171,ESCOVA STITCH PEQUENA,146.94,6
33,907206274,ELASTICO DE CABELO,134.73000000000002,27
33,916190620,CABO P/DADOS KY-6011,164.97,13
33,908629677,FORMA PIZZA 35 POLIDO,68.97,3
33,954703799,MONTAGEM LACO,43.47,3
33,935697488,ENF. DE MAD.TREM NATAL,67.98,2
33,907206397,TIGELA COM TAMPA,52.11,9
33,920658434,"CORR NAT BLEND 3,5ML",314.30999999999995,19
34,907206274,ELASTICO DE CABELO,162.98000000000002,37
34,909222920,POTE ORG C/ TAMPA E ESC,76.92,8
34,4698756,BOLSA PRETA,145.4,10
34,927396106,BOLSA ALC BE YOURSELF M,107.75,5
